respid,Gender,Age,Age_Breaks,Region2,Race,Language_Dominance,Parent,HH_Income,Employment,Education,Marital_Status,Total_Paid_HE_Movies,Bought_Disc_DVD,Bought_Disc_BD,Bought_Digital,Rented_Disc_Store,Rented_Disc_Kiosk,Rented_Disc_Mail,Rented_Digital_iVOD,Rented_Digital_sVOD,Rented_Digital_cVOD,cqhidGroup,filter_$,ZTotal_Paid_HE_Movies,Buy_Disc_Percent,Buy_Digital_Percent,Rent_Disc_Percent,Rent_Digital_Percent
2,2,58,55-64,4,5,5,1,7,1,4,1,12,1,2,1,2,1,2,1,1,1,1,1,-.279034045483024,.25,.0833333333333333,.416666666666667,.25
7,2,37,35-44,3,1, ,1,3,1,3,3,4,4,0,0,0,0,0,0,0,0,1,1,-.608657122286764,1,0,0,0
9,1,36,35-44,3,1, ,1,5,1,4,3,9,1,1,1,1,1,1,1,1,1,1,1,-.402642699284426,.222222222222222,.111111111111111,.333333333333333,.333333333333333
11,2,69,65-74,4,1, ,2,2,3,3,1,1,0,0,1,0,0,0,0,0,0,1,1,-.732265776088167,0,1,0,0
17,2,37,35-44,4,1, ,2,4,4,2,3,12,0,1,0,0,0,0,1,10,0,1,1,-.279034045483024,.0833333333333333,0,0,.916666666666667
20,2,51,45-54,2,1, ,1,5,1,6,1,7,2,1,0,3,0,0,0,0,1,1,1,-.485048468485362,.428571428571429,0,.428571428571429,.142857142857143
23,1,39,35-44,1,1, ,1,7,1,6,1,48,5,4,6,9,8,7,4,3,2,1,1,1.20426980013381,.1875,.125,.5,.1875
25,2,34,25-34,3,1, ,1,4,1,4,1,30,0,0,6,0,0,0,4,20,0,1,1,.462617877325393,0,.2,0,.8
26,1,61,55-64,1,1, ,1,5,2,3,3,20,0,0,0,0,12,0,0,0,8,1,1,.050589031320717,0,0,.6,.4
27,1,26,25-34,1,1, ,1,6,1,4,3,28,0,0,3,9,0,6,5,2,3,1,1,.380212108124458,0,.107142857142857,.535714285714286,.357142857142857
30,2,37,35-44,1,1, ,2,6,1,4,1,2,2,0,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
31,2,35,35-44,1,1, ,1,7,1,6,3,6,0,4,0,2,0,0,0,0,0,1,1,-.526251353085829,.666666666666667,0,.333333333333333,0
34,2,67,65-74,1,1, ,2,6,3,6,3,2,0,0,0,0,0,0,0,2,0,1,1,-.691062891487699,0,0,0,1
36,2,24,18-24,3,1, ,2,4,2,4,1,38,1,0,0,0,4,3,0,30,0,1,1,.792240954129134,.0263157894736842,0,.184210526315789,.789473684210526
38,2,54,45-54,3,1, ,1,3,3,4,3,8,8,0,0,0,0,0,0,0,0,1,1,-.443845583884894,1,0,0,0
40,2,18,18-24,3,1, , ,7,2,3,1,28,1,0,0,0,4,0,0,8,15,1,1,.380212108124458,.0357142857142857,0,.142857142857143,.821428571428571
44,2,20,18-24,3,2, , ,1,4,2,3,55,12,8,0,0,0,8,5,18,4,1,1,1.49268999233708,.363636363636364,0,.145454545454545,.490909090909091
45,2,39,35-44,3,1, ,1,4,4,2,3,2,1,1,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
46,1,33,25-34,4,1, ,1,8,1,6,3,29,12,10,5,0,2,0,0,0,0,1,1,.421414992724925,.758620689655172,.172413793103448,.0689655172413793,0
49,2,33,25-34,4,1, ,1,4,1,6,1,4,0,0,0,0,2,0,0,2,0,1,1,-.608657122286764,0,0,.5,.5
55,2,30,25-34,4,1, ,1,6,1,4,3,29,1,8,4,0,0,0,2,9,5,1,1,.421414992724925,.310344827586207,.137931034482759,0,.551724137931034
59,2,28,25-34,4,1, ,1,8,1,6,3,9,1,1,1,1,1,1,1,1,1,1,1,-.402642699284426,.222222222222222,.111111111111111,.333333333333333,.333333333333333
66,1,31,25-34,3,1, ,1,6,1,6,3,11,1,1,1,1,1,1,2,3,0,1,1,-.320236930083491,.181818181818182,.0909090909090909,.272727272727273,.454545454545455
68,2,45,45-54,3,1, ,1,10,1,4,3,1,1,0,0,0,0,0,0,0,0,1,1,-.732265776088167,1,0,0,0
71,1,57,55-64,4,5,4,2,6,3,6,3,1,1,0,0,0,0,0,0,0,0,1,1,-.732265776088167,1,0,0,0
73,1,31,25-34,4,1, ,1,8,1,6,3,3,1,1,0,0,1,0,0,0,0,1,1,-.649860006887232,.666666666666667,0,.333333333333333,0
82,2,32,25-34,3,5,3,1,6,1,3,1,22,1,1,1,1,5,0,0,13,0,1,1,.132994800521652,.0909090909090909,.0454545454545455,.272727272727273,.590909090909091
86,1,29,25-34,3,1, ,1,6,1,6,3,38,2,2,3,2,0,0,4,20,5,1,1,.792240954129134,.105263157894737,.0789473684210526,.0526315789473684,.763157894736842
90,2,44,35-44,4,1, ,1,4,1,6,1,4,0,0,0,0,1,0,0,0,3,1,1,-.608657122286764,0,0,.25,.75
93,1,36,35-44,4,1, ,1,7,1,6,3,33,5,4,4,2,4,5,2,5,2,1,1,.586226531126796,.272727272727273,.121212121212121,.333333333333333,.272727272727273
96,1,34,25-34,3,1, ,1,7,2,4,2,32,4,4,10,2,2,2,2,4,2,1,1,.545023646526328,.25,.3125,.1875,.25
99,2,52,45-54,4,1, ,2,4,4,4,3,9,6,0,0,0,0,0,0,0,3,1,1,-.402642699284426,.666666666666667,0,0,.333333333333333
104,1,18,18-24,1,2, , ,4,2,2,1,90,10,10,10,10,10,10,10,10,10,1,1,2.93479095335345,.222222222222222,.111111111111111,.333333333333333,.333333333333333
105,2,65,65-74,3,5,3,2,3,4,4,3,11,3,1,1,1,3,2,0,0,0,1,1,-.320236930083491,.363636363636364,.0909090909090909,.545454545454545,0
106,2,49,45-54,2,1, ,1,7,1,4,3,10,0,0,0,0,0,10,0,0,0,1,1,-.361439814683959,0,0,1,0
108,1,31,25-34,1,5,4,2,1,4,2,1,19,1,2,0,0,0,16,0,0,0,1,1,.00938614672024944,.157894736842105,0,.842105263157895,0
109,1,61,55-64,3,1, ,2,4,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
111,1,65,65-74,3,2, ,2,4,3,3,2,6,3,1,0,0,0,0,0,0,2,1,1,-.526251353085829,.666666666666667,0,0,.333333333333333
112,1,30,25-34,3,1, ,1,6,1,2,3,11,2,3,0,0,2,0,0,0,4,1,1,-.320236930083491,.454545454545455,0,.181818181818182,.363636363636364
119,2,35,35-44,1,1, ,1,5,1,4,3,17,1,2,2,2,2,2,2,2,2,1,1,-.0730196224806857,.176470588235294,.117647058823529,.352941176470588,.352941176470588
128,2,65,65-74,3,1, ,2,3,3,3,1,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
136,1,49,45-54,1,5,2,1,4,1,2,3,5,0,2,0,0,3,0,0,0,0,1,1,-.567454237686297,.4,0,.6,0
137,2,70,65-74,2,1, ,2,2,3,2,2,2,1,0,0,1,0,0,0,0,0,1,1,-.691062891487699,.5,0,.5,0
147,2,19,18-24,3,1, , ,1,4,2,2,5,0,0,0,0,0,0,0,5,0,1,1,-.567454237686297,0,0,0,1
151,1,18,18-24,4,1, , ,4,2,2,1,4,3,1,0,0,0,0,0,0,0,1,1,-.608657122286764,1,0,0,0
155,2,63,55-64,2,1, ,2,5,2,4,3,30,0,0,0,0,0,0,0,0,30,1,1,.462617877325393,0,0,0,1
159,1,41,35-44,4,1, ,1,6,1,4,3,35,5,6,2,4,2,0,3,8,5,1,1,.668632300327731,.314285714285714,.0571428571428571,.171428571428571,.457142857142857
171,2,18,18-24,1,1, , ,1,2,3,1,7,0,0,0,0,0,0,0,7,0,1,1,-.485048468485362,0,0,0,1
174,2,54,45-54,3,1, ,2,1,4,2,3,50,0,0,0,0,0,0,0,50,0,1,1,1.28667556933474,0,0,0,1
181,2,28,25-34,3,3, ,2,5,1,6,1,4,1,0,1,0,0,0,2,0,0,1,1,-.608657122286764,.25,.25,0,.5
186,2,34,25-34,4,1, ,2,4,4,2,1,6,0,0,0,0,0,2,0,3,1,1,1,-.526251353085829,0,0,.333333333333333,.666666666666667
187,1,54,45-54,3,1, ,2,2,1,3,1,10,5,0,0,4,0,0,0,0,1,1,1,-.361439814683959,.5,0,.4,.1
189,2,33,25-34,2,5,2,1,5,2,4,3,9,1,1,1,1,1,1,1,1,1,1,1,-.402642699284426,.222222222222222,.111111111111111,.333333333333333,.333333333333333
190,2,65,65-74,4,1, ,2,8,3,3,3,8,0,0,0,0,8,0,0,0,0,1,1,-.443845583884894,0,0,1,0
191,2,31,25-34,2,4, ,2,3,4,6,2,6,0,0,0,0,0,0,0,6,0,1,1,-.526251353085829,0,0,0,1
192,1,36,35-44,2,1, ,2,4,2,2,1,14,4,0,0,0,0,0,0,10,0,1,1,-.196628276282088,.285714285714286,0,0,.714285714285714
198,1,70,65-74,4,1, ,2,4,3,4,1,4,2,2,0,0,0,0,0,0,0,1,1,-.608657122286764,1,0,0,0
201,2,33,25-34,4,1, ,1,6,1,6,3,26,5,8,3,0,0,0,0,0,10,1,1,.297806338923523,.5,.115384615384615,0,.384615384615385
204,2,34,25-34,2,1, ,1,4,1,4,3,4,0,0,1,0,0,0,1,1,1,1,1,-.608657122286764,0,.25,0,.75
206,2,50,45-54,2,1, ,2,2,4,6,1,8,2,1,2,0,0,0,0,0,3,1,1,-.443845583884894,.375,.25,0,.375
210,2,33,25-34,2,2, ,2,2,1,3,1,14,0,0,0,0,0,9,0,5,0,1,1,-.196628276282088,0,0,.642857142857143,.357142857142857
211,1,40,35-44,3,1, ,1,6,1,4,3,35,0,2,1,0,2,0,0,0,30,1,1,.668632300327731,.0571428571428571,.0285714285714286,.0571428571428571,.857142857142857
212,2,53,45-54,3,1, ,2,5,1,3,3,4,0,0,0,0,2,0,0,2,0,1,1,-.608657122286764,0,0,.5,.5
214,1,32,25-34,4,5,5,1,7,1,4,3,39,5,5,5,4,4,4,4,4,4,1,1,.833443838729601,.256410256410256,.128205128205128,.307692307692308,.307692307692308
